Total hosts (including soft deleted): 296
--- DUPLICATES FOUND ---
DUPLICATE GROUP: mid:2-hostid:10777 count: 37
  -> Host: ID=37, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:30.277 +0800 CST true}
  -> Host: ID=45, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:30.016 +0800 CST true}
  -> Host: ID=53, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:29.866 +0800 CST true}
  -> Host: ID=61, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:29.747 +0800 CST true}
  -> Host: ID=69, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:29.66 +0800 CST true}
  -> Host: ID=77, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:29.58 +0800 CST true}
  -> Host: ID=85, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:29.483 +0800 CST true}
  -> Host: ID=93, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:29.396 +0800 CST true}
  -> Host: ID=101, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:29.32 +0800 CST true}
  -> Host: ID=109, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:56:11.07 +0800 CST true}
  -> Host: ID=117, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:56:11.021 +0800 CST true}
  -> Host: ID=125, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:37.76 +0800 CST true}
  -> Host: ID=133, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:37.522 +0800 CST true}
  -> Host: ID=141, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:37.433 +0800 CST true}
  -> Host: ID=149, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:37.32 +0800 CST true}
  -> Host: ID=157, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:37.194 +0800 CST true}
  -> Host: ID=165, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:37.12 +0800 CST true}
  -> Host: ID=173, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:36.805 +0800 CST true}
  -> Host: ID=181, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:36.698 +0800 CST true}
  -> Host: ID=189, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:36.59 +0800 CST true}
  -> Host: ID=197, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:36.46 +0800 CST true}
  -> Host: ID=205, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:19:36.361 +0800 CST true}
  -> Host: ID=213, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:30:11.129 +0800 CST true}
  -> Host: ID=221, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:30:10.956 +0800 CST true}
  -> Host: ID=229, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:30:10.874 +0800 CST true}
  -> Host: ID=237, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:30:10.58 +0800 CST true}
  -> Host: ID=245, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:30:10.416 +0800 CST true}
  -> Host: ID=253, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:30:10.314 +0800 CST true}
  -> Host: ID=261, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:30:10.199 +0800 CST true}
  -> Host: ID=269, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 14:30:10.093 +0800 CST true}
  -> Host: ID=277, Name=AGG1, MID=2, HostID=10776, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
  -> Host: ID=285, Name=AGG1, MID=2, HostID=10776, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
  -> Host: ID=293, Name=AGG1, MID=2, HostID=10776, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
DUPLICATE GROUP: mid:2-hostid:10786 count: 37
  -> Host: ID=8, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:30.582 +0800 CST true}
  -> Host: ID=16, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:30.515 +0800 CST true}
  -> Host: ID=24, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:30.436 +0800 CST true}
  -> Host: ID=32, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:30.337 +0800 CST true}
  -> Host: ID=40, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:30.242 +0800 CST true}
